GeneSymbol	GeneID	GI
Olfr1461	258299	gi|49170042
Vmn1r19	171200	gi|21717685
Olfr670	384703	gi|54261734
Vmn1r21	171201	gi|21717695
Olfr830	258559	gi|22129511
Olfr1058	258386	gi|110671317
Olfr1204	258455	gi|110671324
Olfr1023	258580	gi|113195676
Olfr1040	404323	gi|112807191
Olfr1501	258626	gi|33239096
Olfr1101	258584	gi|113195674
Olfr1155	258636	gi|33239198
Fam181b	58238	gi|120587013
Ythdc1	231386	gi|124430549
Olfr1131	258652	gi|110671321
Rsbn1l	242860	gi|124430547
Lonrf1	244421	gi|124487241
Olfr1472	258685	gi|110671326
Phf20l1	239510	gi|124487195
Sclt1	67161	gi|124487197
Olfr1109	258762	gi|110671319
Olfr603	259073	gi|116089298
Fndc1	68655	gi|124487225
Arhgap23	58996	gi|114796637
Ddx23	74351	gi|124430514
Tas2r122	630845	gi|126157529
Olfr859	258519	gi|120953180
Olfr259	258766	gi|110735418
Olfr1189	258768	gi|110735420
Fam184a	75906	gi|124487475
Kif13b	16554	gi|124487163
Vmn1r227	171229	gi|117168261
Olfr1045	259019	gi|110735414
Olfr1084	258235	gi|120953202
Olfr1179	258919	gi|110735416
Olfr547	259083	gi|110735424
Zfp930	234358	gi|110681698
Olfr726	258313	gi|121247413
Olfr1145	258317	gi|121247419
Olfr554	258322	gi|121247462
Wdr95	381693	gi|119508424
Wdr86	269633	gi|124517674
Olfr196	258775	gi|121247431
Znrf4	20834	gi|113205051
Olfr914	258782	gi|121583649
Olfr466	258816	gi|121583651
Olfr1126	258834	gi|121583683
Ddx60	234311	gi|124487049
Iqck	434232	gi|124517720
Ankrd12	106585	gi|71834683
Nckap5	210356	gi|126362961
Olfr906	258799	gi|116174752
Nckap5	210356	gi|126362965
Olfr1314	258442	gi|116174764
Olfr1098	258842	gi|116174766
Olfr1206	258896	gi|116174762
Olfr228	258400	gi|116174772
Gm12253	624860	gi|113865925
Olfr707	194433	gi|116174768
Vmn2r84	625068	gi|124517668
Olfr1471	258231	gi|112821662
Olfr730	258486	gi|116174776
Olfr1135	258654	gi|115529281
Olfr624	258189	gi|111185926
Pcdhb10	93881	gi|18087783
Prp2	83380	gi|119964710
Slco5a1	240726	gi|124378011
Fam186b	545136	gi|124486943
Olfr247	258266	gi|115529278
Vmn1r76	171239	gi|112821683
Olfr741	258233	gi|112821672
Olfr417	258238	gi|115529469
Nfxl1	100978	gi|124301201
Olfr667	259062	gi|115529283
Olfr1062	259082	gi|124301221
Olfr1306	258023	gi|113374160
Olfr1010	258255	gi|112821664
Olfr731	258360	gi|115529467
Olfr874	258882	gi|115529465
Ldlrad1	546840	gi|124486899
Vmn1r80	171238	gi|120300967
Olfr568	259095	gi|112983541
Olfr67	18368	gi|120407031
Olfr851	258907	gi|112982693
Olfr126	258892	gi|22129107
Sipa1l3	74206	gi|124486630
Zc3h12b	547176	gi|110347404
Olfr747	258264	gi|112982848
Olfr1104	258763	gi|121583685
Olfr1218	258815	gi|112983594
Rfx7	319758	gi|88703055
Olfr295	258850	gi|121583723
Olfr1143	258290	gi|22129703
Olfr1160	258643	gi|112983622
Olfr1216	258895	gi|121583727
Olfr305	258609	gi|112982875
Usp32	237898	gi|126032299
Olfr883	258414	gi|33239238
Olfr1214	258899	gi|121583725
Hnrnph3	432467	gi|119637823
Coq10a	210582	gi|124486652
Olfr1123	258347	gi|121583711
Olfr592	404317	gi|121583633
Olfr1288	258395	gi|121583713
Olfr560	259117	gi|121583538
Olfr552	259106	gi|121583540
Olfr1183	258522	gi|33239042
Olfr1196	258456	gi|121582639
Olfr1361	258534	gi|33238962
Olfr381	259024	gi|121583635
Kank1	107351	gi|75677563
Rnf113a2	66381	gi|88759341
Itga10	213119	gi|124486692
Olfr1341	258852	gi|124248518
Gm6592	625480	gi|125858426
Gm6614	625716	gi|124486775
Pdzd2	68070	gi|124486716
Myo5c	208943	gi|124486759
Vmn1r13	113862	gi|110611163
Olfr430	258713	gi|125490376
Olfr891	258471	gi|121582635
Olfr1356	258305	gi|125490329
Vmn1r14	113864	gi|110611161
Vmn1r25	113865	gi|110611165
Dbpht2	386753	gi|38524610
Vmn1r16	171202	gi|110611912
Olfr775	258538	gi|125858743
Plekhg4	102075	gi|124487489
Dgkh	380921	gi|124486741
Olfr201	258996	gi|121583932
Mmp27	234911	gi|71892410
Scaper	244891	gi|124486797
Olfr608	258751	gi|122056742
Olfr1095	258725	gi|122056735
Olfr823	258668	gi|121583930
Olfr1014	258562	gi|121582637
Olfr739	258663	gi|122056744
Arfip1	99889	gi|124487362
Olfr798	258549	gi|121582552
Scaf11	72193	gi|117647277
Ttc37	218343	gi|124486883
Olfr1026	258577	gi|121583709
Olfr1018	258579	gi|121583729
Olfr1153	258633	gi|122056738
Kctd17	72844	gi|139948553
Vmn1r10	113858	gi|118200347
Olfr1049	259018	gi|122056731
Sec16a	227648	gi|124378050
4931429I11Rik	70989	gi|124487449
Krtap4-2	68673	gi|114687895
Olfr297	258611	gi|116063544
Srp72	66661	gi|118344452
Cntnap3	238680	gi|124487467
Ogdhl	239017	gi|124487483
Gm4787	214321	gi|111955131
Olfr1057	404325	gi|46430586
Ankrd36	76389	gi|125628652
Olfr1043	258570	gi|22129491
